dia_juliano,mes,dia,q95,q90,q85,q80,q75,q70,q65,q60,q55,q50
282,10,9,119.0,154.15,190.24,225.04,255.03,292.8,330.32,382.89,440.63,496.62
283,10,10,119.5,156.86,193.09,228.0,255.03,295.26,333.56,386.24,444.26,500.17
284,10,11,119.91,159.58,195.95,228.0,256.71,296.36,336.11,392.94,451.01,503.73
285,10,12,122.47,162.32,196.56,229.41,258.54,301.57,340.04,392.94,451.01,507.29
286,10,13,125.05,162.32,198.82,230.97,261.13,304.2,343.3,393.4,454.48,510.86
287,10,14,125.8,164.11,198.82,233.95,264.19,304.73,346.56,399.68,457.96,514.43
288,10,15,127.64,165.07,201.69,233.99,264.19,307.9,353.1,403.06,461.45,518.01
289,10,16,130.23,165.07,204.58,236.93,270.34,311.08,356.38,406.44,461.45,521.6
290,10,17,132.84,165.07,204.58,236.93,273.43,314.27,359.67,413.23,467.54,528.15
291,10,18,135.47,167.46,207.47,239.93,276.52,317.47,362.97,420.04,468.44,531.83
292,10,19,135.47,167.82,210.38,240.96,279.62,320.67,366.27,420.04,468.44,532.39
293,10,20,135.47,170.59,213.29,242.93,282.74,323.88,369.58,420.04,475.45,533.8
294,10,21,136.73,170.59,213.48,245.94,282.74,323.88,369.58,423.46,475.45,535.51
295,10,22,138.1,170.59,216.22,245.94,285.86,327.1,369.58,425.9,475.45,532.39
296,10,23,138.1,173.37,219.15,248.96,288.98,327.1,369.58,426.39,475.45,531.83
297,10,24,138.1,173.37,219.15,248.96,288.98,329.94,369.58,423.46,475.45,525.19
298,10,25,138.89,173.37,219.15,248.96,292.12,330.32,368.25,420.04,469.52,521.6
299,10,26,140.75,173.37,219.15,248.96,295.26,329.94,366.27,420.04,468.44,514.43
300,10,27,138.89,173.37,219.15,248.96,295.26,329.0,364.0,416.63,464.94,510.86
301,10,28,140.75,175.89,219.15,249.29,295.26,327.1,362.97,409.83,461.45,505.96
302,10,29,140.75,173.37,219.15,251.99,295.26,327.1,361.09,406.44,454.48,500.17
303,10,30,140.75,173.37,219.15,251.99,295.26,323.88,359.67,403.06,451.01,495.46
304,10,31,140.75,173.37,216.22,251.99,292.12,323.88,356.38,399.06,444.08,486.01
305,11,1,140.75,173.37,216.22,249.29,288.98,323.88,353.1,392.94,440.63,482.48
306,11,2,140.75,173.37,216.22,248.96,285.86,320.67,349.83,388.58,433.74,476.82
307,11,3,140.75,173.37,216.22,247.12,282.74,317.47,346.56,385.79,426.88,471.94
308,11,4,142.22,173.37,213.29,245.94,282.74,311.08,343.53,382.6,420.04,464.94
309,11,5,142.22,173.37,213.29,242.93,279.55,307.9,340.04,372.9,416.63,461.45
310,11,6,142.22,170.59,210.38,239.93,276.52,306.24,336.6,369.53,409.83,454.48
311,11,7,142.22,170.56,210.38,238.97,273.43,302.09,333.56,362.97,406.44,451.01
312,11,8,140.75,167.82,207.47,236.93,270.34,301.57,327.1,359.67,399.06,440.63
313,11,9,140.75,165.07,204.58,233.95,264.19,295.9,323.88,356.38,392.94,436.28
314,11,10,138.49,165.07,201.69,230.97,261.13,292.12,321.9,353.1,389.59,426.88
315,11,11,138.1,162.32,198.82,228.0,258.08,288.98,319.77,349.83,386.24,422.44
316,11,12,138.1,162.32,195.95,225.04,253.48,283.06,311.08,346.56,382.6,420.04
317,11,13,135.47,159.58,193.09,222.09,251.57,279.62,307.9,340.04,374.26,413.23
318,11,14,135.31,159.58,190.24,216.22,245.94,279.55,304.73,336.11,369.58,407.82
319,11,15,132.84,159.58,187.41,216.22,242.93,276.52,302.09,329.94,362.97,403.06
