dia_juliano,mes,dia,q95,q90,q85,q80,q75,q70,q65,q60,q55,q50
144,5,24,83.08,98.96,112.3,122.47,132.84,148.75,165.07,184.58,209.71,233.95
145,5,25,83.08,99.01,112.3,122.47,135.0,148.75,165.07,187.41,210.38,236.93
146,5,26,85.44,99.36,112.3,122.65,135.47,148.75,165.07,187.41,210.38,239.93
147,5,27,85.44,99.46,113.21,125.05,135.47,151.0,167.29,187.41,210.38,239.93
148,5,28,85.44,99.88,114.83,125.05,135.47,151.44,170.59,190.12,213.29,242.93
149,5,29,85.44,99.88,114.83,125.35,135.47,151.44,170.59,192.21,219.15,245.94
150,5,30,85.44,99.88,114.83,127.64,138.1,152.27,173.37,193.09,222.09,248.96
151,5,31,85.44,99.88,117.36,127.64,138.1,154.15,176.15,195.95,225.04,251.99
152,6,1,87.22,102.04,117.36,127.64,138.49,156.86,176.15,198.82,227.82,255.03
153,6,2,87.81,102.34,117.36,127.64,140.75,156.86,178.95,201.69,228.0,259.28
154,6,3,87.81,102.34,117.36,128.96,140.98,158.99,181.76,204.58,230.97,264.19
155,6,4,87.81,102.34,118.84,130.23,143.4,159.58,181.76,206.42,233.95,267.26
156,6,5,87.81,102.34,119.5,130.23,143.4,159.58,183.91,210.38,236.93,271.44
157,6,6,87.81,102.34,119.5,130.23,143.4,159.58,184.58,210.38,239.93,276.52
158,6,7,87.81,102.34,119.91,132.13,143.4,162.32,186.78,213.29,242.65,282.74
159,6,8,87.81,102.34,119.91,132.84,143.4,164.11,187.41,216.22,245.94,286.05
160,6,9,87.81,102.34,119.91,132.84,146.07,165.07,187.41,219.15,248.96,292.12
161,6,10,87.81,102.34,119.91,132.84,148.75,165.07,190.24,222.09,255.03,296.13
162,6,11,87.81,102.34,119.91,135.47,148.75,167.82,190.24,225.04,258.08,304.73
163,6,12,87.81,102.34,122.47,135.47,148.75,170.59,193.09,228.0,261.13,313.1
164,6,13,87.81,104.81,122.47,138.1,151.44,170.59,195.95,229.41,267.26,320.67
165,6,14,87.81,104.81,122.47,138.1,152.27,173.37,198.82,233.95,270.34,327.1
166,6,15,87.81,104.81,125.05,138.1,154.15,173.8,204.23,236.93,276.52,330.32
167,6,16,87.81,107.3,125.05,138.89,156.86,176.15,207.47,239.93,282.74,333.56
168,6,17,87.81,107.3,127.64,140.75,156.86,178.95,210.38,242.65,288.98,340.04
169,6,18,90.2,109.79,127.64,140.75,159.58,181.76,213.29,245.94,292.12,343.53
170,6,19,90.2,112.3,127.64,143.4,159.58,184.58,216.22,248.96,295.26,346.94
171,6,20,90.2,112.3,130.23,143.4,162.32,187.41,219.15,252.62,300.55,350.37
172,6,21,90.2,112.3,130.23,144.86,165.07,189.5,222.09,258.08,304.73,356.38
173,6,22,90.2,112.3,130.23,146.07,167.82,191.24,225.04,261.13,307.9,359.67
174,6,23,92.6,112.3,130.23,148.75,170.59,193.09,228.0,264.19,314.27,364.0
175,6,24,92.6,112.3,132.84,148.75,170.59,195.95,230.74,265.95,317.47,366.27
176,6,25,92.6,112.3,132.84,148.75,173.37,198.82,233.95,269.29,323.15,370.3
177,6,26,92.6,112.3,132.84,151.44,176.15,201.69,233.95,273.43,326.54,372.9
178,6,27,92.6,112.3,132.84,151.44,176.15,204.58,236.93,276.52,329.94,376.22
179,6,28,92.87,112.3,132.84,151.44,176.15,204.58,236.93,279.55,330.32,376.22
180,6,29,95.01,112.3,132.84,154.15,177.04,204.58,236.93,279.62,330.32,376.22
181,6,30,95.01,112.3,132.84,154.15,176.15,204.23,236.93,279.55,329.94,374.26
182,7,1,95.01,112.3,132.84,154.15,176.15,203.81,236.93,276.52,327.1,372.9
183,7,2,95.01,112.3,132.84,154.15,176.15,202.42,236.93,276.52,327.1,372.9
184,7,3,95.01,112.42,132.84,154.15,176.15,201.69,234.2,273.43,323.88,372.9
185,7,4,95.01,114.83,132.84,154.15,176.15,201.69,233.95,272.91,321.9,372.9
186,7,5,95.01,114.83,132.84,154.15,176.15,199.83,231.65,270.34,318.44,369.58
187,7,6,95.01,114.83,134.03,154.15,176.15,199.75,230.97,267.26,314.27,364.67
188,7,7,95.01,114.83,135.47,154.15,176.15,198.82,230.96,264.19,311.08,362.97
189,7,8,95.01,114.83,135.47,154.15,176.15,198.82,228.0,261.15,310.84,360.58
190,7,9,95.01,112.42,135.47,154.15,176.15,198.82,228.0,259.28,307.9,359.67
191,7,10,95.01,112.3,135.47,154.15,176.15,198.82,225.04,258.08,304.11,353.75
192,7,11,95.01,112.3,132.84,154.15,176.15,198.82,222.09,255.03,299.92,350.34
193,7,12,92.6,112.3,132.84,152.27,173.37,198.82,222.09,252.0,295.26,346.8
194,7,13,92.6,112.3,132.84,151.44,173.37,198.82,222.09,251.99,292.36,346.16
195,7,14,92.6,112.3,132.84,151.44,173.37,195.95,222.09,248.96,290.09,343.3
196,7,15,92.6,112.3,132.84,149.38,170.59,195.95,222.09,248.96,288.98,340.04
197,7,16,92.6,112.3,132.84,148.75,170.59,193.09,219.15,246.87,285.86,336.8
198,7,17,92.6,112.3,132.13,148.75,170.59,193.09,219.15,245.94,285.86,333.56
199,7,18,92.6,112.3,130.23,148.75,167.82,192.91,216.22,242.93,282.74,333.56
200,7,19,92.6,109.79,130.23,147.4,167.82,190.24,216.22,242.93,279.62,330.32
201,7,20,90.2,109.79,130.23,146.07,165.07,190.24,213.48,240.53,279.55,327.1
202,7,21,90.2,109.79,130.23,146.07,165.07,190.24,213.29,239.93,276.52,325.45
203,7,22,90.2,109.27,130.23,146.07,165.07,189.5,213.29,239.93,276.52,320.67
204,7,23,87.81,107.3,130.23,146.07,165.07,187.41,213.29,239.93,276.52,319.77
205,7,24,87.81,107.3,130.23,145.47,162.32,187.41,213.29,239.93,275.98,317.7
206,7,25,87.81,107.3,128.96,144.86,162.32,187.41,210.38,239.93,275.28,314.27
207,7,26,87.81,107.3,127.64,143.4,160.06,184.58,210.38,239.93,273.43,314.81
208,7,27,85.44,107.3,127.64,143.4,159.58,181.76,210.38,239.93,273.43,314.27
209,7,28,85.44,107.3,127.64,143.4,158.2,181.76,210.38,239.93,272.53,314.27
210,7,29,83.08,106.59,127.64,143.4,156.86,179.86,210.04,239.93,270.34,314.27
211,7,30,83.08,104.81,126.33,142.43,156.86,179.86,207.47,239.34,270.34,314.27
212,7,31,83.08,104.81,125.8,141.67,156.86,178.95,207.47,237.66,270.34,314.27
213,8,1,83.08,102.92,125.05,141.67,156.86,178.95,207.47,236.93,270.34,314.27
